 22 1996-05-27T11:59 LLAMAICEA Wind       0.21      -1.72      -1.16       3.49     411.53   39132.46      14.14      16.78      -3.71       6.27      -0.28       9.30     369.29   27156.01      12.14       0.92
 22 1996-05-27T11:59 LLAMAICEB Wind       0.21      -1.72      -1.16       3.49     411.53   39132.46      14.14      16.78      -2.89       6.11       1.60      10.03     368.93   31297.38      15.82       1.01
 23 1996-07-01T13:05    DREAMS Wind       None       None       None       None       None       None       None       None      -2.37       7.70       0.75      10.93     353.60   31072.25      18.09       1.15
 23 1996-07-01T13:05      Jian Wind       None       None       None       None       None       None       None       None      -2.58       5.95       1.66       9.47     351.11   40823.75      17.76       3.11
 23 1996-07-01T13:05   Lepping Wind       None       None       None       None       None       None       None       None      -2.39       7.70       0.77      10.95     353.52   30969.28      18.07       1.14
 23 1996-07-01T13:05        RC Wind      -1.13       4.21       1.49       6.72     356.24   42926.34      21.32       3.47      -2.67       7.59       1.17      10.96     352.49   32844.87      17.76       1.11
 23 1996-07-01T13:05      Wind Wind      -1.70       4.61       2.38       6.60     353.11   43415.17      20.39       3.46      -2.39       7.70       0.77      10.95     353.52   30969.28      18.07       1.14
 23 1996-07-01T13:05 LLAMAICEA Wind      -1.70       4.61       2.38       6.60     353.11   43415.17      20.39       3.46      -2.06       8.16       0.22      11.04     354.74   29279.91      18.17       1.12
 23 1996-07-01T13:05 LLAMAICEB Wind      -1.70       4.61       2.38       6.60     353.11   43415.17      20.39       3.46      -2.49       7.40       0.96      10.81     353.10   32968.10      17.98       1.19
 24 1996-07-02T16:50      Wind Wind       None       None       None       None       None       None       None       None      -7.86       3.94       1.49      10.60     394.75   69235.10       7.39       0.61
 24 1996-07-02T16:50 LLAMAICEA Wind       None       None       None       None       None       None       None       None      -8.39       4.87       0.92      10.86     399.62   67321.20       7.12       0.51
 24 1996-07-02T16:50 LLAMAICEB Wind       None       None       None       None       None       None       None       None      -6.86       4.89       0.20      10.18     407.71   87368.45       8.41       0.96
 25 1996-08-07T11:59    DREAMS Wind       None       None       None       None       None       None       None       None       2.45      -3.60      -2.80       6.50     345.55   30148.91       8.58       1.57
 25 1996-08-07T11:59      Jian Wind      -1.24      -2.09      -1.60       4.74     357.07   27189.93      12.33       4.84       3.03      -2.76      -3.33       6.16     345.29   28834.18       9.09       1.87
 25 1996-08-07T11:59   Lepping Wind       None       None       None       None       None       None       None       None       2.25      -4.04      -2.61       6.65     344.85   32001.42       8.40       1.43
 25 1996-08-07T11:59        RC Wind      -0.57      -1.73      -1.75       4.59     357.90   27282.88      12.22       4.90       2.29      -3.92      -2.65       6.60     345.11   31724.56       8.45       1.47
 25 1996-08-07T11:59      Wind Wind       1.49      -1.48      -2.64       4.07     361.70   33064.35      12.59       5.65       2.21      -4.05      -2.21       6.62     345.16   36391.05       8.54       1.52
 25 1996-08-07T11:59 LLAMAICEA Wind       1.49      -1.48      -2.64       4.07     361.70   33064.35      12.59       5.65       3.06      -2.90      -3.38       6.29     344.27   28802.25       8.94       1.67
 25 1996-08-07T11:59 LLAMAICEB Wind       1.49      -1.48      -2.64       4.07     361.70   33064.35      12.59       5.65       2.27      -3.96      -2.61       6.62     345.07   31920.16       8.43       1.47
 25 1996-08-07T11:59 LLAMAICEC Wind       None       None       None       None       None       None       None       None       2.79      -2.65      -3.25       5.90     347.31   29544.23       9.57       2.36
 25 1996-08-07T11:59 LLAMAICED Wind       None       None       None       None       None       None       None       None       2.16      -3.62      -2.61       6.26     347.37   32078.36       9.01       2.05
 26 1996-12-24T03:07    DREAMS Wind       None       None       None       None       None       None       None       None      -3.61       1.34       7.43       9.57     377.25   24258.51       9.09       0.67
 26 1996-12-24T03:07      Jian Wind       None       None       None       None       None       None       None       None      -4.33       6.05       2.94      10.39     348.82   29652.19      11.53       0.78
 26 1996-12-24T03:07   Lepping Wind       None       None       None       None       None       None       None       None      -4.30       5.95       2.89      10.33     348.82   29675.66      11.52       0.81
 26 1996-12-24T03:07      Wind Wind      -1.48      -2.66       1.89       4.09     419.85   63435.54      12.26      58.85      -4.32       6.07       2.90      10.39     348.35   29544.00      11.55       0.79
 26 1996-12-24T03:07 LLAMAICEA Wind      -1.48      -2.66       1.89       4.09     419.85   63435.54      12.26      58.85      -3.61       1.45       7.51       9.65     376.64   23845.80       9.11       0.64
 26 1996-12-24T03:07 LLAMAICEB Wind      -1.48      -2.66       1.89       4.09     419.85   63435.54      12.26      58.85      -4.04       2.44       6.89       9.66     373.25   26226.13      11.09       0.79
 26 1996-12-24T03:07 LLAMAICEC Wind       None       None       None       None       None       None       None       None      -3.32       0.89       6.75       8.89     382.52   29232.16       9.54       8.56
 26 1996-12-24T03:07 LLAMAICED Wind       None       None       None       None       None       None       None       None      -3.75       1.87       6.33       9.04     378.46   30383.61      11.23       7.28
 27 1996-12-24T16:23    DREAMS Wind       None       None       None       None       None       None       None       None      -4.58       8.69       0.25      10.98     331.64   32013.78      11.79       0.73
 27 1996-12-24T16:23   Lepping Wind       None       None       None       None       None       None       None       None      -4.30       5.95       2.89      10.33     348.82   29675.66      11.52       0.81
 27 1996-12-24T16:23        RC Wind       3.52      -0.33       4.28       5.61     414.58   61439.92       9.46       2.46      -2.65       4.71       2.84       9.10     364.61   30229.86      12.03       3.75
 27 1996-12-24T16:23      Wind Wind      -1.48      -2.66       1.89       4.09     419.85   63435.54      12.26      58.85      -4.32       6.07       2.90      10.39     348.35   29544.00      11.55       0.79
 27 1996-12-24T16:23 LLAMAICEA Wind      -5.71       6.37       4.40       9.70     359.81   35673.09      18.96       1.39      -4.58       8.69       0.25      10.98     331.64   32013.78      11.79       0.73
